Abraham Lincoln School,54.4
Academy Hill School,57.2
Acton Elementary School,50.5
Adams School,32.1
Agnes Gray School,67.1
Airline Community School,44.7
Albert S Hall School,61.8
Albion Elementary School,72.8
Alexander Elementary,63.3
Alfred Elementary School,31.2
Alton Elementary School,44.6
Ames Elementary School,45.2
Andover Elementary School,41.4
Appleton Village School,46.2
Asa C Adams School,29
Ashland District School,64.1
Ashley Bryan School,33.3
Athens Elementary School,64.3
Auburn Middle School,51.1
Baldwin Consolidated School,53.6
Bangor High School,41.5
Bath Middle School,51.6
Bay Ridge Elementary,37.5
Beals Elementary School,60
Beatrice Rafferty School,88.3
Beech Hill School,43.6
Belfast Area High School,48.2
Belgrade Central School,43.3
Benton Elementary School,61.4
Berwick Elementary Schools,38.5
Biddeford High School,45.6
Biddeford Intermediate School,59.7
Biddeford Middle School,55.7
Biddeford Primary School,63.5
Bloomfield Elementary School,68.4
Blue Hill Consolidated School,34.8
Blue Point School,11.2
Bonny Eagle High School,39.4
Bonny Eagle Middle School,45.6
Boothbay Region Elem School,49.1
Boothbay Region High School,43.7
Bowdoin Central School,42.1
Bowdoinham Community School,42
Bradford Elementary School,57.1
Brewer Community School,39.2
Brewer High School,31
Bristol Consolidated School,43.9
Brooksville Elementary School,41.5
Brownville Elementary School,82.5
Bruce M Whittier Middle School,41.4
Brunswick High School,26.6
Brunswick Jr High School,30
Buckfield Jr-Sr High School,63.4
Bucksport High School,37.4
Bucksport Middle School,58.5
Burchard A Dunn School,37.3
Buxton Center Elementary School,43.2
C K Burns School,35.3
Calais Elementary School,67.1
Calais Middle/High School,51.1
Camden Hills Regional H S,25.6
Camden-Rockport Elementary School,29.8
Camden-Rockport Middle School,25.1
Canaan Elementary School,68.5
Cape Cod Hill Elem School,51.9
Cape Elizabeth High School,7.1
Cape Elizabeth Middle School,6.3
Captain Albert W. Stevens School,55.8
Caravel Middle School,46.3
Caribou High School,45.7
Caribou Middle School,49.8
Carl J Lamb School,66.4
Carmel Elementary School,49
Carrabec Community School,73
Carrabec High School,61.1
Carrie Ricker School,45.4
Cascade Brook School,48.2
Casco Bay High School,45.7
Cave Hill School,67.9
Center Drive School,22.1
Central Aroostook Jr-Sr H S,47.5
Central High School,43
Central Middle School,51.3
Central School,24.3
Charles A Snow School,51.5
