Abraham Lincoln School,355.2,347.2,
Academy Hill School,504.1,510.2,543.5
Acton Elementary School,592.1,595.9,698.2
Adams School,591.1,586.9,647.8
Agnes Gray School,507.7,510,539.6
Airline Community School,557.9,561.2,692.2
Albert S Hall School,492.3,493.8,538.4
Albion Elementary School,502.1,508.1,541.2
Alexander Elementary,548.3,554.1,647.6
Alfred Elementary School,475.2,475.3,543.1
Alton Elementary School,429.2,427.5,537.2
Ames Elementary School,453,452.7,544.2
Andover Elementary School,482.2,483,546
Appleton Village School,580.7,579.9,717.8
Asa C Adams School,449.2,441.5,544
Ashland Central School,433.9,434.4,542.5
Ashland Community High School,734.2,740.8,845
Ashley Bryan School,656.7,654.3,630
Athens Elementary School,581,585.2,665.7
Auburn Middle School,792.5,796.9,840.7
Aucocisco School,612.7,640,828
Baldwin Consolidated School,394.6,392.4,
Bath Middle School,749.2,757.7,844.1
Bay Ridge Elementary,603.7,603.9,706.2
Beals Elementary School,649.5,656.9,762.2
Beatrice Rafferty School,567.5,571.1,669.3
Beech Hill School,584.7,588.9,746.1
Belgrade Central School,460.4,456.6,544.1
Benton Elementary School,492.7,494.2,542
Biddeford Intermediate School,494.9,494.5,542.7
Biddeford Middle School,739.1,745.7,
Biddeford Primary School,345.3,342.8,
Bloomfield Elementary School,376.5,375.7,
Blue Hill Consolidated School,581,579.9,714.5
Bonny Eagle Middle School,737.8,744.1,842.9
Boothbay Region Elem School,613.6,617.8,711.9
Bowdoin Central School,449.1,445.9,540.8
Bowdoinham Community School,445.4,441,543.6
Brewer Middle School,747.6,755.3,842.3
Bridgewater Grammar School,492.8,493,544
Bristol Consolidated School,617.8,620.1,721.8
Brooklin School,595.9,599.7,686
Brooksville Elementary School,593.3,597.7,784.7
Brownville Elementary School,484.1,488.1,538.3
Bruce M Whittier Middle School,803.2,809.6,849
Brunswick Jr High School,743,750.6,845.3
Buckfield Jr-Sr High School,793.9,798.1,841
Bucksport Middle School,695.1,702.9,703.7
Burchard A Dunn School,447.8,447.5,543
C K Burns School,443.5,444,541.2
Calais Elementary School,495.3,497.6,542
Calais Middle/High School,795.5,800.3,844.9
Camden-Rockport Elementary School,402.6,398.1,
Camden-Rockport Middle School,714,713.3,712.6
Canaan Elementary School,473.1,473.8,544.1
Cape Cod Hill Elem School,515.8,517.2,539.3
Cape Elizabeth Middle School,699.8,700.6,694
Captain Albert W. Stevens School,453.2,452.3,543.2
Caravel Middle School,744,750.7,843.9
Caribou Middle School,694.5,699.8,700
Carl J Lamb School,491,490.3,540.7
Carmel Elementary School,433.1,430.8,553.9
Carrabec Community School,695.7,700,779.3
Carrie Ricker Middle School,634.9,642.6,706.7
Cascade Brook School,544.5,547.7,542.8
Cave Hill School,586.4,585.1,671.1
Center Drive School,613.4,617.7,709.8
Central Aroostook Jr-Sr H S,797.8,812.3,834.8
Central Elementary School,496,498,546
Central Maine Learning Center,788.7,810.7,804.4
Central Middle School,733.6,742.9,839.2
Central School,346.9,345.7,
Charles A Snow School,452.1,452.9,540.1
Charlotte Elementary School,579,574.1,688.3
Chebeague Island School,491.6,487.6,551.2
Chelsea Elementary School,572.9,577.4,650.5
Cherryfield Elementary,631.8,630.7,705.1
China Middle School,692.4,696,689.5
China Primary School,392.2,392.9,
Cliff Island School,436.5,428,560
Clinton Elementary School,501.5,499.8,541.2
Coastal Ridge Elementary,408.1,400.5,
Coffin School,456.2,454.6,544.7
Columbia Falls Elementary,600.3,607.9,697.8
Congin School,454.1,449.9,544.1
Conners-Emerson School,609.1,609.8,683.9
