Dist.Name,Latitude,Longitude,School Name,Address,ZIP,Dist.Code,Enroll,Free,% Free,Reduced,% Reduced,Eligible,% Eligible,County,Accuracy Score,Latitude,Longitude,Accuracy Score
Auburn School Department,44.678686,-68.264462,East Auburn Community School,"East Auburn Community School, Maine",,1007,189,76,40.21,11,5.82,87,46.03,Androscoggin,0.53,44.678686,-68.264462,0.53
Auburn School Department,46.793032,-68.105233,Washburn School,"Washburn School, Auburn, Maine",,1007,270,199,73.7,19,7.04,218,80.74,Androscoggin,0.67,46.697289,-90.904151,0.67
Becket Family Of Services,,,Becket - Auburn,"Becket - Auburn, Auburn, Maine",,5027,6,6,100,0,0,6,100,Androscoggin,0,,,0
Lewiston School Department,44.197009,-70.239485,Lewiston High School,"Lewiston High School, Maine",,1088,1324,721,54.46,52,3.93,773,58.38,Androscoggin,0.67,44.197009,-70.239485,0.67
Lewiston School Department,44.197009,-70.239485,Lewiston Middle School,"Lewiston Middle School, Maine",,1088,688,439,63.81,31,4.51,470,68.31,Androscoggin,0.67,44.197009,-70.239485,0.67
Rsu 16,,,Elm Street School-Mechanic Falls,"129 Elm St, Mechanic Falls, ME",,3163,301,143,47.51,17,5.65,160,53.16,Androscoggin,0,44.104016,-70.384549,1
Rsu 52/Msad 52,44.951451,-69.246713,Greene Central School,"Greene Central School, Maine",,1246,377,122,32.36,26,6.9,148,39.26,Androscoggin,0.53,44.951451,-69.246713,0.53
Rsu 73,44.47228,-70.18078,Livermore Elementary School,"Livermore Elementary School, Livermore, Maine",,3198,466,273,58.58,33,7.08,306,65.67,Androscoggin,0.67,37.750502,-121.749055,0.67
Madawaska School Department,47.34286,-68.33099,Madawaska Elementary School,"Madawaska Elementary School, Maine",,1097,240,90,37.5,17,7.08,107,44.58,Aroostook,0.67,47.34286,-68.33099,0.67
Madawaska School Department,47.34286,-68.33099,Madawaska Middle/High School,"Madawaska Middle/High School, Maine",,1097,240,69,28.75,22,9.17,91,37.92,Aroostook,0.67,47.34286,-68.33099,0.67
Msad 27,47.04948,-68.58616,Eagle Lake Elem/Jr High School,"Eagle Lake Elem/Jr High School, Maine",,1221,56,18,32.14,3,5.36,21,37.5,Aroostook,0.67,47.04948,-68.58616,0.67
Msad 27,47.26484,-68.58101,Fort Kent Community High School,"Fort Kent Community High School, Maine",,1221,336,188,55.95,44,13.1,232,69.05,Aroostook,0.67,47.26484,-68.58101,0.67
Msad 27,47.26484,-68.58101,Fort Kent Elementary School,"Fort Kent Elementary School, Maine",,1221,376,174,46.28,23,6.12,197,52.39,Aroostook,0.67,47.26484,-68.58101,0.67
Msad 27,47.129484,-68.597268,Wallagrass Elementary School,"Wallagrass Elementary School, Wallagrass, Maine",,1221,72,38,52.78,8,11.11,46,63.89,Aroostook,0.53,39.491247,-77.343542,0.67
New Sweden School Department,46.94171,-68.12059,New Sweden Consolidated School,"New Sweden Consolidated School, Maine",,1116,64,35,54.69,11,17.19,46,71.88,Aroostook,0.67,46.94171,-68.12059,0.67
Rsu 29/Msad 29,,,Houlton Junior High School,"Houlton Junior High School, Maine",,1223,189,90,47.62,20,10.58,110,58.2,Aroostook,0,,,0
Rsu 29/Msad 29,45.039778,-69.597273,Wellington School,"Wellington School, Maine",,1223,67,46,68.66,4,5.97,50,74.63,Aroostook,0.6,45.039778,-69.597273,0.6
Rsu 32/Msad 32,46.63115,-68.40615,Ashland District School,"Ashland District School, Ashland, Maine",,1226,316,145,45.89,34,10.76,179,56.65,Aroostook,0.67,37.673946,-122.08482,0.53
Rsu 39,46.892918,-67.9643,Limestone Community School,"Limestone Community School, Limestone, Maine",,3174,263,183,69.58,18,6.84,201,76.43,Aroostook,0.67,40.627135,-89.685132,0.53
Rsu 42/Msad 42,44.180965,-70.891727,Central Aroostook Jr-Sr H S,"Central Aroostook Jr-Sr H S, Maine",,1236,202,65,32.18,21,10.4,86,42.57,Aroostook,0.67,44.180965,-70.891727,0.67
Rsu 45/Msad 45,46.793032,-68.105233,Washburn District Elem School,"Washburn District Elem School, Maine",,1239,267,150,56.18,23,8.61,173,64.79,Aroostook,0.67,46.793032,-68.105233,0.67
Rsu 45/Msad 45,46.793032,-68.105233,Washburn District High School,"Washburn District High School, Maine",,1239,126,49,38.89,13,10.32,62,49.21,Aroostook,0.67,46.793032,-68.105233,0.67
Rsu 50,,,So Aroostook Csd School,"So Aroostook Csd School, Maine",,3199,370,216,58.38,34,9.19,250,67.57,Aroostook,0,,,0
Rsu 79/Msad 01,46.68199,-68.16281,Mapleton Elementary School,"Mapleton Elementary School, Maine",,1196,203,68,33.5,6,2.96,74,36.45,Aroostook,0.67,46.68199,-68.16281,0.67
Rsu 79/Msad 01,46.715072,-68.012557,Presque Isle High School,"Presque Isle High School, Maine",,1196,550,182,33.09,54,9.82,236,42.91,Aroostook,0.67,46.715072,-68.012557,0.67
Rsu 79/Msad 01,46.715072,-68.012557,Presque Isle Middle School,"Presque Isle Middle School, Maine",,1196,434,169,38.94,53,12.21,222,51.15,Aroostook,0.67,46.715072,-68.012557,0.67
Rsu 86/Msad 20,46.746453,-67.841507,Fort Fairfield Elementary School,"Fort Fairfield Elementary School, Maine",,1214,259,155,59.85,21,8.11,176,67.95,Aroostook,0.67,46.746453,-67.841507,0.67
Rsu 86/Msad 20,46.746453,-67.841507,Fort Fairfield Middle/High School,"Fort Fairfield Middle/High School, Maine",,1214,271,130,47.97,27,9.96,157,57.93,Aroostook,0.67,46.746453,-67.841507,0.67
Rsu 88/Msad 24,47.16608,-67.95308,Van Buren District Secondary Sch,"Van Buren District Secondary Sch, Maine",,1218,95,49,51.58,5,5.26,54,56.84,Aroostook,0.67,47.16608,-67.95308,0.67
Rsu 88/Msad 24,47.16608,-67.95308,Van Buren Elementary School,"Van Buren Elementary School, Maine",,1218,217,142,65.44,13,5.99,155,71.43,Aroostook,0.67,47.16608,-67.95308,0.67
Woodland School Department,45.157019,-67.404717,Woodland Consolidated Sch,"Woodland Consolidated Sch, Maine",,1187,134,65,48.51,12,8.96,77,57.46,Aroostook,0.6,45.157019,-67.404717,0.6
Brunswick School Department,43.91172,-69.9405,Brunswick High School,"Brunswick High School, Maine",,1026,846,191,22.58,56,6.62,247,29.2,Cumberland,0.67,43.91172,-69.9405,0.67
Brunswick School Department,43.91172,-69.9405,Brunswick Jr High School,"Brunswick Jr High School, Maine",,1026,501,134,26.75,30,5.99,164,32.73,Cumberland,0.67,43.91172,-69.9405,0.67
Cape Elizabeth School Department,43.595512,-70.239559,Cape Elizabeth High School,"Cape Elizabeth High School, Maine",,1029,554,43,7.76,6,1.08,49,8.84,Cumberland,0.67,43.595512,-70.239559,0.67
Cape Elizabeth School Department,43.595512,-70.239559,Cape Elizabeth Middle School,"Cape Elizabeth Middle School, Maine",,1029,546,34,6.23,7,1.28,41,7.51,Cumberland,0.67,43.595512,-70.239559,0.67
Cape Elizabeth School Department,43.596473,-70.228658,Pond Cove Elementary,"Pond Cove Elementary, Maine",,1029,573,32,5.58,7,1.22,39,6.81,Cumberland,0.6,43.596473,-70.228658,0.6
Gorham School Department,45.049429,-68.581212,Great Falls Elementary School,"Great Falls Elementary School, Maine",,1065,529,110,20.79,7,1.32,117,22.12,Cumberland,0.67,45.049429,-68.581212,0.67
Portland Public Schools,44.61617,-70.71479,East End Community School,"East End Community School, Maine",,1134,428,317,74.07,11,2.57,328,76.64,Cumberland,0.67,44.61617,-70.71479,0.67
Portland Public Schools,43.662809,-70.188442,Peaks Island School,"Peaks Island School, Maine",,1134,52,5,9.62,6,11.54,11,21.15,Cumberland,0.67,43.662809,-70.188442,0.67
