Dist.Name,Latitude,Longitude,"School Name",Address,Dist.Code,Enroll,Free,"% Free",Reduced,"% Reduced",Eligible,"% Eligible",County,"Accuracy Score",Latitude,Longitude,"Accuracy Score"
"Auburn School Department",,,"Auburn Middle School","38 Falcon Dr, Auburn, ME, 04210",1007,519,248,47.78,28,5.39,276,53.18,Androscoggin,0,44.09081175,-70.249326375,1
"Auburn School Department",44.678686,-68.264462,"East Auburn Community School","East Auburn Community School, Maine",1007,189,76,40.21,11,5.82,87,46.03,Androscoggin,0.53,44.678686,-68.264462,0.53
"Auburn School Department",,,"Edward Little High School","77 Harris St, Auburn, ME, 04210",1007,1038,457,44.03,43,4.14,500,48.17,Androscoggin,0,44.096883183673,-70.238213020408,1
"Auburn School Department",,,"Fairview School","397 Mino Ave, Auburn, ME, 04210",1007,554,172,31.05,27,4.87,199,35.92,Androscoggin,0,44.087422,-70.243848,0.33
"Auburn School Department",,,"Park Avenue Elementary School","161 Park Ave, Auburn, ME  04210",1007,368,214,58.15,15,4.08,229,62.23,Androscoggin,0,44.103337196721,-70.247754622951,1
"Auburn School Department",,,"Sherwood Heights Elementary Sch","32 Sherwood Dr, Auburn, ME, 04210",1007,416,226,54.33,19,4.57,245,58.89,Androscoggin,0,44.0773083,-70.227575,1
"Auburn School Department",,,"Walton School","92 Mary Carroll St, Auburn, ME, 04210",1007,280,171,61.07,29,10.36,200,71.43,Androscoggin,0,44.081202,-70.219229,1
"Auburn School Department",46.793032,-68.105233,"Washburn School","Washburn School, Auburn, Maine",1007,270,199,73.7,19,7.04,218,80.74,Androscoggin,0.67,46.697289,-90.904151,0.67
"Becket Family Of Services",,,"Becket - Auburn","Becket - Auburn, Auburn, Maine",5027,6,6,100,0,0,6,100,Androscoggin,0,,,0
"Lewiston School Department",,,"Farwell Elementary School","84-110 Farwell St, Lewiston, ME, 04240",1088,367,216,58.86,17,4.63,233,63.49,Androscoggin,0,44.09188575,-70.19562475,1
"Lewiston School Department",,,"Governor James B Longley Elem Sch","145 Birch St, Lewiston, ME  04240",1088,382,381,99.74,0,0,381,99.74,Androscoggin,0,44.093918183673,-70.208735020408,1
"Lewiston School Department",44.197009,-70.239485,"Lewiston High School","Lewiston High School, Maine",1088,1324,721,54.46,52,3.93,773,58.38,Androscoggin,0.67,44.197009,-70.239485,0.67
"Lewiston School Department",44.197009,-70.239485,"Lewiston Middle School","Lewiston Middle School, Maine",1088,688,439,63.81,31,4.51,470,68.31,Androscoggin,0.67,44.197009,-70.239485,0.67
"Lewiston School Department",,,"Martel School","880 Lisbon St, Lewiston, ME 04240",1088,323,212,65.63,14,4.33,226,69.97,Androscoggin,0,44.083602,-70.201781,1
"Lewiston School Department",,,"Montello School","407 East Ave, Lewiston, ME  04240",1088,678,526,77.58,13,1.92,539,79.5,Androscoggin,0,44.106583,-70.188811,1
"Lewiston School Department",,,"Raymond A. Geiger Elementary School","601 College St, Auburn, ME  04240",1088,739,437,59.13,19,2.57,456,61.71,Androscoggin,0,44.1206545,-70.1921955,1
"Lewiston School Department",,,"Thomas J Mcmahon Elementary Sch","151 North Temple St, Lewiston, ME 04240",1088,645,372,57.67,17,2.64,389,60.31,Androscoggin,0,44.105438,-70.164429,1
"Lisbon School Department",,,"Lisbon Community School","33 Mill St, Lisbon, ME  04250",1092,644,300,46.58,59,9.16,359,55.75,Androscoggin,0,44.017655,-70.0960016,1
"Lisbon School Department",,,"Lisbon High School","2 Sugg Dr, Lisbon, ME  04252",1092,393,135,34.35,57,14.5,192,48.85,Androscoggin,0,44.032476,-70.068046,0.22
"Lisbon School Department",,,"Philip W Sugg Middle School","4 Sugg Dr, LIsbon, ME  04252",1092,268,121,45.15,33,12.31,154,57.46,Androscoggin,0,44.032476,-70.068046,0.22
"N F I North",,,"N.F.I. Dirigo Place","98 Russell St, Lewiston, ME  04240",5099,7,4,57.14,0,0,4,57.14,Androscoggin,0,44.107901,-70.200414,1
"N F I North",,,"N.F.I.Dodge House","15 Wayside Ave, Bridgton, ME  04009",5099,12,12,100,0,0,12,100,Androscoggin,0,44.0600925,-70.711473,1
"New Beginnings",,,"New Beginnings Shelter","436 Main St, Lewiston, ME  04240",5702,12,12,100,0,0,12,100,Androscoggin,0,44.105087,-70.211638,1
"Rsu 04",,,"Oak Hill High School","56 School Rd, Wales, ME  04280",3157,450,175,38.89,36,8,211,46.89,Androscoggin,0,44.119800,-70.107550,0.22
"Rsu 04",,,"Oak Hill Middle School","40 Ball Park Rd, Sabattus, ME  04280",3157,326,154,47.24,32,9.82,186,57.06,Androscoggin,0,44.111940666667,-70.101272708333,1
