name,address,phone,Latitude,Longitude,Accuracy Score
Acton Ecumenical Food Pantry,"59 H-Road, Acton ME 04001",207-636-3768,43.53425,-70.90978,0.33
Loaves and Fishes,"123 Benton Rd, Albion ME 04910",207-437-2732,44.541201,-69.44763584,1
York County Shelters (Food Pantry and Meals Kitchen),"140 Shaker Hill Road Alfred, ME - 04002
",207-324-1137,43.50785,-70.714886,1
Andover Food Pantry,"23 Elm Street, Andover, ME 04216",207-364-7968,44.63667904,-70.74495122,1
Arundel Food Pantry,"1237 Alfred Road, Arundel ME 04046,  ",207-229-0167,43.35997,-70.46316,0.22
Ashland Food Pantry,"31-A Station Street, Ashland, ME  ",207-551-3350,46.630845,-68.40774033,1
Good Shepherd Food Bank,"3121 Hotel Rd. Auburn, ME 04210  ",207-782-3554,44.03075989,-70.28757367,1
St. Louis Church Food Pantry,"101 Second Street, Auburn, ME 04210 ", 207-782-2577,44.08634362,-70.2203,1
Seventh Day Adventist Food Pantry,"310 Minot Ave, Auburn, ME 04210  ",207-689-3107,44.086427,-70.238376,1
High Street Congregational Church Food Pantry,"106 Pleasant Street Auburn, ME ",207-784-1306,44.097009,-70.22815471,1
Augusta Food bank,"9 Summer ST, Augusta, ME - 04330,", 207-622-5225,44.31719896,-69.778531,1
Salvation Army - Augusta Food Pantry,"11 N Pearl St. Augusta, ME - 04330 ", 207-623-3752,44.323777,-69.761671,1
Together Place Food Pantry,"150 Union Street, Bangor, ME - 04401 ", 207-941-2907,44.79910065,-68.77329155,0.8
Salvation Army - Bangor Food Pantry,"65 S Park St. Bangor, ME 04401",207-941-2990,44.848517,-68.850405,0.22
Manna Inc. Food Pantry,"629 Main Street, Bangor ME 04401",207-990-2870,44.785092,-68.779892,1
Estern Maine AIDS Network - Food Pantry,370 Harlow Street,207-990-3626,27.108081,-80.230818,0.22
Ecumenical Food Pantry,"28 High Street, Bangor ME 04401",207-942-0131,44.80103461,-68.77462657,1
EMAN,"70 Harlow Street, bangor ME 04401",207-990-3626,44.80370929,-68.77114937,0.8
Samaritan  - The Rock Church ,"1195 Ohio Street, bangorME 04401",(207) 200-4747,44.83120403,-68.81778032,1
"Samaritan, Inc. Center Street","146 Center Street - Wesleyan Church, Bangor, ME 04401",207-200-4747,44.848517,-68.850405,0.33
Bar Harbor Food Pantry,"179 Gilbert Farm Road, Bar Harbor, ME 04069",207-288-3375,43.894983,-70.189159,0.22
Salvation Army Food Pantry,"25 Congress Ave. Bath, ME 04530",207-443-3611,43.91149575,-69.83288975,1
