dist-code,dist-name,origname,name,enroll,free,free-percent,reduced,reduced-percent,eligible,eligible-percent
0,! Doe Inactive,Zzz Pettingill Elementary School,Pettingill Elementary School,338,110,32.54,31,9.17,141,41.72
20,Zzz Auburn,Zzz Auburn Middle School,Auburn Middle School,504,200,39.68,27,5.36,227,45.04
20,Zzz Auburn,Zzz East Auburn School,East Auburn School,140,42,30,17,12.14,59,42.14
20,Zzz Auburn,Zzz Fairview School,Fairview School,541,123,22.74,25,4.62,148,27.36
20,Zzz Auburn,Zzz Merrill Hill School,Merrill Hill School,30,20,66.67,1,3.33,21,70
20,Zzz Auburn,Zzz Park Ave School,Park Ave School,363,188,51.79,23,6.34,211,58.13
20,Zzz Auburn,Zzz Retc/Sos,Retc/Sos,25,19,76,2,8,21,84
20,Zzz Auburn,Zzz Sherwood Heights Elementary Sch,Sherwood Heights Elementary Sch,431,214,49.65,25,5.8,239,55.45
20,Zzz Auburn,Zzz Walton School,Walton School,238,135,56.72,20,8.4,155,65.13
20,Zzz Auburn,Zzz Washburn School,Washburn School,247,142,57.49,17,6.88,159,64.37
735,Zzz Dirigo Place Nfi,Zzz Dirigo Place,Dirigo Place,7,7,100,0,0,7,100
130,Zzz Durham Union 030,Zzz Durham Elementary School,Durham Elementary School,351,61,17.38,28,7.98,89,25.36
233,Zzz Lewiston,Zzz Farwell Elementary School,Farwell Elementary School,432,228,52.78,35,8.1,263,60.88
233,Zzz Lewiston,Zzz Gov James B Longley Elem Sch,Gov James B Longley Elem Sch,296,284,95.95,5,1.69,289,97.64
233,Zzz Lewiston,Zzz Lewiston High School,Lewiston High School,1383,542,39.19,83,6,625,45.19
233,Zzz Lewiston,Zzz Lewiston Middle School,Lewiston Middle School,692,345,49.86,58,8.38,403,58.24
233,Zzz Lewiston,Zzz Martel School,Martel School,315,162,51.43,33,10.48,195,61.9
233,Zzz Lewiston,Zzz Montello School,Montello School,847,625,73.79,44,5.19,669,78.98
233,Zzz Lewiston,Zzz Thomas J Mcmahon Elem Sch,Thomas J Mcmahon Elem Sch,466,229,49.14,23,4.94,252,54.08
242,Zzz Lisbon Union 030,Zzz Lisbon Community School,Lisbon Community School,599,177,29.55,76,12.69,253,42.24
242,Zzz Lisbon Union 030,Zzz Lisbon High School,Lisbon High School,456,104,22.81,45,9.87,149,32.68
242,Zzz Lisbon Union 030,Zzz Philip W Sugg Middle Sch,Philip W Sugg Middle Sch,311,97,31.19,45,14.47,142,45.66
269,Zzz Mechanic Falls Union 029,Zzz Elm Street School Union 029,Elm Street School Union 029,322,117,36.34,36,11.18,153,47.52
279,Zzz Minot Union 29,Zzz Minot Consolidated School,Minot Consolidated School,263,50,19.01,24,9.13,74,28.14
915,Zzz Oak Hill Csd,Zzz Oak Hill High School,Oak Hill High School,518,134,25.87,49,9.46,183,35.33
350,Zzz Poland Union 029,Zzz Bruce M Whittier Middle School,Bruce M Whittier Middle School,127,26,20.47,8,6.3,34,26.77
350,Zzz Poland Union 029,Zzz Poland Community School,Poland Community School,432,128,29.63,37,8.56,165,38.19
350,Zzz Poland Union 029,Zzz Poland Regional High School,Poland Regional High School,560,94,16.79,33,5.89,127,22.68
728,Zzz Rumford Group Home,Zzz Turner Family Support Center,Turner Family Support Center,4,4,100,0,0,4,100
458,Zzz Sabattus Union 044,Zzz Sabattus Central School,Sabattus Central School,339,87,25.66,27,7.96,114,33.63
458,Zzz Sabattus Union 044,Zzz Sabattus Elementary School,Sabattus Elementary School,144,50,34.72,19,13.19,69,47.92
536,Zzz Sad 36,Zzz Livermore Elementray School,Livermore Elementray School,439,244,55.58,26,5.92,270,61.5
536,Zzz Sad 36,Zzz Livermore Falls High School,Livermore Falls High School,350,150,42.86,39,11.14,189,54
536,Zzz Sad 36,Zzz Livermore Falls Middle School,Livermore Falls Middle School,232,107,46.12,31,13.36,138,59.48
552,Zzz Sad 52,Zzz Greene Central School,Greene Central School,374,78,20.86,43,11.5,121,32.35
552,Zzz Sad 52,Zzz Leavitt Area High School,Leavitt Area High School,690,132,19.13,57,8.26,189,27.39
552,Zzz Sad 52,Zzz Leeds Central School,Leeds Central School,164,43,26.22,17,10.37,60,36.59
552,Zzz Sad 52,Zzz Tripp Middle School,Tripp Middle School,334,78,23.35,32,9.58,110,32.93
552,Zzz Sad 52,Zzz Turner Elementary School,Turner Elementary School,222,56,25.23,22,9.91,78,35.14
552,Zzz Sad 52,Zzz Turner Primary School,Turner Primary School,279,53,19,29,10.39,82,29.39
843,Zzz Spurwink School,Zzz Spurwink Auburn,Spurwink Auburn,27,21,77.78,1,3.7,22,81.48
724,Zzz Sweetser Childrens Serv.,Zzz Lewiston Family Focus,Lewiston Family Focus,5,3,60,0,0,3,60
852,Zzz Trinity Catholic School,Zzz Trinity Junior High Campus,Trinity Junior High Campus,142,4,2.82,7,4.93,11,7.75
448,Zzz Wales Union 44,Zzz Wales Central School,Wales Central School,166,55,33.13,15,9.04,70,42.17
0,! Doe Inactive,Zzz Ashland Central School,Ashland Central School,156,60,38.46,30,19.23,90,57.69
54,Zzz Bridgewater,Zzz Bridgewater Grammar School,Bridgewater Grammar School,32,15,46.88,6,18.75,21,65.63
77,Zzz Caribou,Zzz Caribou High School,Caribou High School,562,180,32.03,33,5.87,213,37.9
77,Zzz Caribou,Zzz Caribou Middle School,Caribou Middle School,472,175,37.08,46,9.75,221,46.82
77,Zzz Caribou,Zzz Hilltop Elementary School,Hilltop Elementary School,252,96,38.1,17,6.75,113,44.84
77,Zzz Caribou,Zzz Teague Park School,Teague Park School,241,97,40.25,18,7.47,115,47.72
85,Zzz Caswell,Zzz Dawn F Barnes Elem Sch,Dawn F Barnes Elem Sch,39,25,64.1,5,12.82,30,76.92
602,Zzz Connor Eut,Zzz Connor Consolidated School,Connor Consolidated School,45,17,37.78,14,31.11,31,68.89
137,Zzz Easton,Zzz Easton Elementary School,Easton Elementary School,155,58,37.42,12,7.74,70,45.16
137,Zzz Easton,Zzz Easton High School,Easton High School,67,17,25.37,11,16.42,28,41.79
236,Zzz Limestone,Zzz Limestone Community School,Limestone Community School,297,157,52.86,35,11.78,192,64.65
256,Zzz Madawaska,Zzz Madawaska Elementary School,Madawaska Elementary School,282,94,33.33,22,7.8,116,41.13
256,Zzz Madawaska,Zzz Madawaska Middle/High School,Madawaska Middle/High School,370,84,22.7,40,10.81,124,33.51
961,Zzz Maine School Of Science & Mathematics,Zzz Maine School Of Science & Mathema,Maine School Of Science & Mathema,116,4,3.45,0,0,4,3.45
305,Zzz New Sweden Union 122,Zzz New Sweden Consolidated School,New Sweden Consolidated School,87,38,43.68,13,14.94,51,58.62
802,Zzz Opportunity Training Ctr.,Zzz Opportunity Training,Opportunity Training,23,16,69.57,6,26.09,22,95.65
501,Zzz Sad 01,Zzz Eva Hoyt Zippel School,Eva Hoyt Zippel School,330,140,42.42,29,8.79,169,51.21
501,Zzz Sad 01,Zzz Mapleton Elementary School,Mapleton Elementary School,221,67,30.32,20,9.05,87,39.37
501,Zzz Sad 01,Zzz Pine Street Elementary School,Pine Street Elementary School,365,171,46.85,36,9.86,207,56.71
501,Zzz Sad 01,Zzz Presque Isle High School,Presque Isle High School,640,189,29.53,67,10.47,256,40
501,Zzz Sad 01,Zzz Presque Isle Middle School Was Sky,Presque Isle Middle School Was Sky,461,170,36.88,54,11.71,224,48.59
520,Zzz Sad 20,Zzz Fort Fairfield Elementary Sch,Fort Fairfield Elementary Sch,262,126,48.09,32,12.21,158,60.31
520,Zzz Sad 20,Zzz Fort Fairfield Middle/ H S,Fort Fairfield Middle/ H S,284,109,38.38,35,12.32,144,50.7
524,Zzz Sad 24,Zzz Van Buren Dist Secondary Sch,Van Buren Dist Secondary Sch,146,75,51.37,15,10.27,90,61.64
524,Zzz Sad 24,Zzz Van Buren District Elementary Sc,Van Buren District Elementary Sc,237,125,52.74,17,7.17,142,59.92
525,Zzz Sad 25,Zzz Katahdin Elem,Katahdin Elem,236,136,57.63,23,9.75,159,67.37
527,Zzz Sad 27,Zzz Eagle Lake Elem/Jr High Sch,Eagle Lake Elem/Jr High Sch,98,45,45.92,18,18.37,63,64.29
527,Zzz Sad 27,Zzz Fort Kent Community H S,Fort Kent Community H S,348,103,29.6,25,7.18,128,36.78
527,Zzz Sad 27,Zzz Fort Kent Elementary School,Fort Kent Elementary School,466,149,31.97,44,9.44,193,41.42
527,Zzz Sad 27,Zzz St. Francis Elementary School,St. Francis Elementary School,67,31,46.27,7,10.45,38,56.72
527,Zzz Sad 27,Zzz Wallagrass Elementary School,Wallagrass Elementary School,87,25,28.74,15,17.24,40,45.98
529,Zzz Sad 29,Zzz Houlton Elementary School,Houlton Elementary School,376,200,53.19,22,5.85,222,59.04
529,Zzz Sad 29,Zzz Houlton High School,Houlton High School,386,142,36.79,27,6.99,169,43.78
529,Zzz Sad 29,Zzz Houlton Junior High School,Houlton Junior High School,206,84,40.78,21,10.19,105,50.97
529,Zzz Sad 29,Zzz Houlton Southside School,Houlton Southside School,269,122,45.35,23,8.55,145,53.9
529,Zzz Sad 29,Zzz Wellington School,Wellington School,74,43,58.11,10,13.51,53,71.62
532,Zzz Sad 32,Zzz Ashland Community High School,Ashland Community High School,170,68,40,29,17.06,97,57.06
533,Zzz Sad 33,Zzz Dr. Levesque School,Dr. Levesque School,159,50,31.45,23,14.47,73,45.91
533,Zzz Sad 33,Zzz Wisdom Middle High School,Wisdom Middle High School,128,30,23.44,22,17.19,52,40.63
542,Zzz Sad 42,Zzz Central Aroostook Jr-Sr H S,Central Aroostook Jr-Sr H S,198,64,32.32,25,12.63,89,44.95
542,Zzz Sad 42,Zzz Fort Street School,Fort Street School,219,62,28.31,20,9.13,82,37.44
545,Zzz Sad 45,Zzz Washburn District Elem School,Washburn District Elem School,277,120,43.32,28,10.11,148,53.43
545,Zzz Sad 45,Zzz Washburn District H S,Washburn District H S,111,31,27.93,12,10.81,43,38.74
570,Zzz Sad 70,Zzz Hodgdon High School,Hodgdon High School,182,69,37.91,22,12.09,91,50
570,Zzz Sad 70,Zzz Mill Pond Elementary School,Mill Pond Elementary School,360,174,48.33,35,9.72,209,58.06
607,Zzz Sinclair Eut,Zzz Patrick Therriault School,Patrick Therriault School,15,7,46.67,3,20,10,66.67
909,Zzz Southern Aroostook Csd,Zzz So Aroostook Csd School,So Aroostook Csd School,415,236,56.87,71,17.11,307,73.98
487,Zzz Woodland Union 122,Zzz Woodland Consolidated Sch,Woodland Consolidated Sch,135,44,32.59,21,15.56,65,48.15
0,! Doe Inactive,Zzz Crooked River Elementary,Crooked River Elementary,155,67,43.23,16,10.32,83,53.55
0,! Doe Inactive,Zzz Hawthorne School,Hawthorne School,83,42,50.6,5,6.02,47,56.63
63,Zzz Brunswick,Zzz Brunswick High School,Brunswick High School,1103,148,13.42,50,4.53,198,17.95
63,Zzz Brunswick,Zzz Brunswick Jr High School,Brunswick Jr High School,715,137,19.16,63,8.81,200,27.97
63,Zzz Brunswick,Zzz Coffin School,Coffin School,412,65,15.78,67,16.26,132,32.04
63,Zzz Brunswick,Zzz Jordan Acres School,Jordan Acres School,455,92,20.22,39,8.57,131,28.79
63,Zzz Brunswick,Zzz Longfellow School Brunswick,Longfellow School Brunswick,325,75,23.08,11,3.38,86,26.46
75,Zzz Cape Elizabeth,Zzz Cape Elizabeth High School,Cape Elizabeth High School,567,13,2.29,8,1.41,21,3.7
