dist-code,dist-name,name,enroll,free,free-percent,reduced,reduced-percent,eligible,eligible-percent
0,! Doe Inactive,Livermore Falls Middle School,221,113,51.13,20,9.05,133,60.18
0,! Doe Inactive,Sabattus Central School,365,146,40,34,9.32,180,49.32
0,! Doe Inactive,Wales Central School,58,27,46.55,4,6.9,31,53.45
1007,Auburn School Department,Auburn Middle School,504,224,44.44,30,5.95,254,50.4
1007,Auburn School Department,East Auburn Community School,181,73,40.33,14,7.73,87,48.07
1007,Auburn School Department,Edward Little High School,1064,437,41.07,32,3.01,469,44.08
1007,Auburn School Department,Fairview School,543,142,26.15,27,4.97,169,31.12
1007,Auburn School Department,Park Avenue Elementary School,386,214,55.44,19,4.92,233,60.36
1007,Auburn School Department,Sherwood Heights Elementary Sch,439,246,56.04,17,3.87,263,59.91
1007,Auburn School Department,Walton School,273,165,60.44,19,6.96,184,67.4
1007,Auburn School Department,Washburn School,256,181,70.7,11,4.3,192,75
1088,Lewiston School Department,Farwell Elementary School,399,235,58.9,29,7.27,264,66.17
1088,Lewiston School Department,Governor James B Longley Elem Sch,310,301,97.1,1,0.32,302,97.42
1088,Lewiston School Department,Lewiston High School,1345,682,50.71,77,5.72,759,56.43
1088,Lewiston School Department,Lewiston Middle School,623,371,59.55,35,5.62,406,65.17
1088,Lewiston School Department,Martel School,293,171,58.36,20,6.83,191,65.19
1088,Lewiston School Department,Montello School,741,575,77.6,18,2.43,593,80.03
1088,Lewiston School Department,Raymond A. Geiger Elementary School,673,360,53.49,26,3.86,386,57.36
1088,Lewiston School Department,Thomas J Mcmahon Elementary Sch,503,251,49.9,26,5.17,277,55.07
1092,Lisbon School Department,Lisbon Community School,609,258,42.36,47,7.72,305,50.08
1092,Lisbon School Department,Lisbon High School,443,163,36.79,32,7.22,195,44.02
1092,Lisbon School Department,Philip W Sugg Middle School,291,122,41.92,22,7.56,144,49.48
5099,N F I North,N.F.I. Dirigo Place,7,7,100,0,0,7,100
5099,N F I North,N.F.I.Dodge House,7,7,100,0,0,7,100
5702,New Beginnings,New Beginnings Shelter,12,12,100,0,0,12,100
3157,Rsu 04,Oak Hill High School,490,177,36.12,52,10.61,229,46.73
3157,Rsu 04,Sabattus Primary School,174,80,45.98,13,7.47,93,53.45
3158,Rsu 05,Durham Elementary School,407,96,23.59,24,5.9,120,29.48
3163,Rsu 16,Bruce M Whittier Middle School,267,80,29.96,28,10.49,108,40.45
3163,Rsu 16,Elm Street School-Mechanic Falls,257,115,44.75,27,10.51,142,55.25
3163,Rsu 16,Minot Consolidated School,196,49,25,12,6.12,61,31.12
3163,Rsu 16,Poland Community School,439,134,30.52,54,12.3,188,42.82
3163,Rsu 16,Poland Regional H S,518,120,23.17,44,8.49,164,31.66
1246,Rsu 52/Msad 52,Greene Central School,385,127,32.99,21,5.45,148,38.44
1246,Rsu 52/Msad 52,Leavitt Area High School,644,161,25,44,6.83,205,31.83
1246,Rsu 52/Msad 52,Leeds Central School,208,74,35.58,26,12.5,100,48.08
1246,Rsu 52/Msad 52,Tripp Middle School,332,97,29.22,37,11.14,134,40.36
1246,Rsu 52/Msad 52,Turner Elementary School,214,66,30.84,28,13.08,94,43.93
1246,Rsu 52/Msad 52,Turner Primary School,313,85,27.16,20,6.39,105,33.55
3198,Rsu 73,Livermore Elementary School,408,240,58.82,24,5.88,264,64.71
3198,Rsu 73,Spurce Mt Hs South (Livermore Falls Hs),320,156,48.75,31,9.69,187,58.44
5728,Rumford Group Home,Turner Family Support,4,4,100,0,0,4,100
1375,Spurwink School Inc,Spurwink Services--Auburn,27,33,122.22,1,3.7,34,125.93
1360,St Dominic Academy,St Dominick Academy,279,8,2.87,7,2.51,15,5.38
1396,Sweetser Children'S Services,Zzz Lewiston Family Focus,5,2,40,0,0,2,40
1033,Caswell School Department,Dawn F Barnes Elementary Sch,42,30,71.43,2,4.76,32,76.19
5602,Connor Consolidated School,Connor Consolidated School,43,17,39.53,14,32.56,31,72.09
1053,Easton School Department,Easton Elementary School,105,62,59.05,13,12.38,75,71.43
1053,Easton School Department,Easton Junior-Senior High Sch,105,23,21.9,12,11.43,35,33.33
1097,Madawaska School Department,Madawaska Elementary School,291,84,28.87,39,13.4,123,42.27
1097,Madawaska School Department,Madawaska Middle/High School,297,85,28.62,24,8.08,109,36.7
1295,Maine School Of Science And Mathematics,Me Sch Of Science & Mathematics,115,20,17.39,7,6.09,27,23.48
1221,Msad 27,Eagle Lake Elem/Jr High School,87,46,52.87,4,4.6,50,57.47
1221,Msad 27,Fort Kent Community High School,323,118,36.53,19,5.88,137,42.41
1221,Msad 27,Fort Kent Elementary School,474,189,39.87,22,4.64,211,44.51
1221,Msad 27,St Francis Elementary School,56,32,57.14,4,7.14,36,64.29
1221,Msad 27,Wallagrass Elementary School,100,32,32,11,11,43,43
1116,New Sweden School Department,New Sweden Consolidated School,81,39,48.15,9,11.11,48,59.26
1386,Opportunity Training Center,Opportunity Training Center,29,23,79.31,2,6.9,25,86.21
1223,Rsu 29/Msad 29,Houlton Elementary School,416,233,56.01,23,5.53,256,61.54
1223,Rsu 29/Msad 29,Houlton High School,406,161,39.66,32,7.88,193,47.54
1223,Rsu 29/Msad 29,Houlton Junior High School,186,81,43.55,16,8.6,97,52.15
1223,Rsu 29/Msad 29,Houlton Southside School,279,127,45.52,22,7.89,149,53.41
1223,Rsu 29/Msad 29,Wellington School,53,29,54.72,9,16.98,38,71.7
1226,Rsu 32/Msad 32,Ashland District School,319,145,45.45,37,11.6,182,57.05
1227,Rsu 33/Msad 33,Dr Levesque Elementary School,144,58,40.28,17,11.81,75,52.08
1227,Rsu 33/Msad 33,Wisdom Middle High School,151,49,32.45,26,17.22,75,49.67
3174,Rsu 39,Caribou High School,564,206,36.52,37,6.56,243,43.09
3174,Rsu 39,Caribou Middle School,319,134,42.01,15,4.7,149,46.71
3174,Rsu 39,Hilltop Elementary School,299,135,45.15,19,6.35,154,51.51
3174,Rsu 39,Limestone Community School,306,176,57.52,29,9.48,205,66.99
3174,Rsu 39,Teague Park School,271,104,38.38,19,7.01,123,45.39
1236,Rsu 42/Msad 42,Central Aroostook Jr-Sr H S,204,87,42.65,18,8.82,105,51.47
1236,Rsu 42/Msad 42,Fort Street School,252,103,40.87,15,5.95,118,46.83
1239,Rsu 45/Msad 45,Washburn District Elem School,255,115,45.1,25,9.8,140,54.9
1239,Rsu 45/Msad 45,Washburn District High School,110,32,29.09,16,14.55,48,43.64
3199,Rsu 50,So Aroostook Csd School,400,267,66.75,55,13.75,322,80.5
1262,Rsu 70/Msad 70,Mill Pond School,363,209,57.58,32,8.82,241,66.39
1262,Rsu 70/Msad 70,Sad 70 Hodgdon High School,164,62,37.8,17,10.37,79,48.17
1196,Rsu 79/Msad 01,Eva Hoyt Zippel School,342,169,49.42,32,9.36,201,58.77
1196,Rsu 79/Msad 01,Mapleton Elementary School,208,73,35.1,19,9.13,92,44.23
1196,Rsu 79/Msad 01,Pine Street Elementary School,309,157,50.81,27,8.74,184,59.55
1196,Rsu 79/Msad 01,Presque Isle High School,541,169,31.24,65,12.01,234,43.25
1196,Rsu 79/Msad 01,Presque Isle Middle School,428,156,36.45,47,10.98,203,47.43
1214,Rsu 86/Msad 20,Fort Fairfield Elementary School,267,152,56.93,23,8.61,175,65.54
1214,Rsu 86/Msad 20,Fort Fairfield Middle/High School,289,115,39.79,29,10.03,144,49.83
